Count by Date,,,(Data current to December 2024),
,,,,
Date,Number Fatalities,Year,Month,Day Of Week
1-Jan-89,8,1989,Jan,Sunday
2-Jan-89,10,1989,Jan,Monday
3-Jan-89,2,1989,Jan,Tuesday
4-Jan-89,5,1989,Jan,Wednesday
5-Jan-89,7,1989,Jan,Thursday
6-Jan-89,8,1989,Jan,Friday
7-Jan-89,8,1989,Jan,Saturday
8-Jan-89,6,1989,Jan,Sunday
9-Jan-89,8,1989,Jan,Monday
10-Jan-89,7,1989,Jan,Tuesday
11-Jan-89,8,1989,Jan,Wednesday
12-Jan-89,7,1989,Jan,Thursday
13-Jan-89,13,1989,Jan,Friday
14-Jan-89,4,1989,Jan,Saturday
15-Jan-89,8,1989,Jan,Sunday
16-Jan-89,3,1989,Jan,Monday
17-Jan-89,2,1989,Jan,Tuesday
18-Jan-89,8,1989,Jan,Wednesday
19-Jan-89,3,1989,Jan,Thursday
20-Jan-89,5,1989,Jan,Friday
21-Jan-89,15,1989,Jan,Saturday
22-Jan-89,12,1989,Jan,Sunday
23-Jan-89,2,1989,Jan,Monday
24-Jan-89,5,1989,Jan,Tuesday
25-Jan-89,7,1989,Jan,Wednesday
26-Jan-89,8,1989,Jan,Thursday
27-Jan-89,16,1989,Jan,Friday
28-Jan-89,13,1989,Jan,Saturday
29-Jan-89,9,1989,Jan,Sunday
30-Jan-89,5,1989,Jan,Monday
31-Jan-89,6,1989,Jan,Tuesday
1-Feb-89,6,1989,Feb,Wednesday
2-Feb-89,2,1989,Feb,Thursday
3-Feb-89,1,1989,Feb,Friday
4-Feb-89,7,1989,Feb,Saturday
5-Feb-89,9,1989,Feb,Sunday
6-Feb-89,14,1989,Feb,Monday
7-Feb-89,9,1989,Feb,Tuesday
8-Feb-89,7,1989,Feb,Wednesday
9-Feb-89,8,1989,Feb,Thursday
10-Feb-89,9,1989,Feb,Friday
11-Feb-89,3,1989,Feb,Saturday
12-Feb-89,11,1989,Feb,Sunday
13-Feb-89,8,1989,Feb,Monday
14-Feb-89,8,1989,Feb,Tuesday
15-Feb-89,9,1989,Feb,Wednesday
16-Feb-89,10,1989,Feb,Thursday
17-Feb-89,7,1989,Feb,Friday
18-Feb-89,6,1989,Feb,Saturday
19-Feb-89,11,1989,Feb,Sunday
20-Feb-89,5,1989,Feb,Monday
21-Feb-89,3,1989,Feb,Tuesday
22-Feb-89,9,1989,Feb,Wednesday
23-Feb-89,12,1989,Feb,Thursday
24-Feb-89,10,1989,Feb,Friday
25-Feb-89,13,1989,Feb,Saturday
26-Feb-89,7,1989,Feb,Sunday
27-Feb-89,3,1989,Feb,Monday
28-Feb-89,4,1989,Feb,Tuesday
1-Mar-89,11,1989,Mar,Wednesday
2-Mar-89,7,1989,Mar,Thursday
3-Mar-89,10,1989,Mar,Friday
4-Mar-89,16,1989,Mar,Saturday
5-Mar-89,8,1989,Mar,Sunday
6-Mar-89,4,1989,Mar,Monday
7-Mar-89,10,1989,Mar,Tuesday
8-Mar-89,3,1989,Mar,Wednesday
9-Mar-89,3,1989,Mar,Thursday
10-Mar-89,10,1989,Mar,Friday
11-Mar-89,13,1989,Mar,Saturday
12-Mar-89,6,1989,Mar,Sunday
13-Mar-89,14,1989,Mar,Monday
14-Mar-89,11,1989,Mar,Tuesday
15-Mar-89,5,1989,Mar,Wednesday
16-Mar-89,0,1989,Mar,Thursday
17-Mar-89,13,1989,Mar,Friday
18-Mar-89,9,1989,Mar,Saturday
19-Mar-89,7,1989,Mar,Sunday
20-Mar-89,2,1989,Mar,Monday
21-Mar-89,14,1989,Mar,Tuesday
22-Mar-89,8,1989,Mar,Wednesday
23-Mar-89,10,1989,Mar,Thursday
24-Mar-89,4,1989,Mar,Friday
25-Mar-89,10,1989,Mar,Saturday
26-Mar-89,9,1989,Mar,Sunday
27-Mar-89,9,1989,Mar,Monday
28-Mar-89,7,1989,Mar,Tuesday
29-Mar-89,10,1989,Mar,Wednesday
30-Mar-89,7,1989,Mar,Thursday
31-Mar-89,6,1989,Mar,Friday
1-Apr-89,6,1989,Apr,Saturday
2-Apr-89,9,1989,Apr,Sunday
3-Apr-89,4,1989,Apr,Monday
4-Apr-89,1,1989,Apr,Tuesday
5-Apr-89,4,1989,Apr,Wednesday
6-Apr-89,7,1989,Apr,Thursday
7-Apr-89,11,1989,Apr,Friday
8-Apr-89,8,1989,Apr,Saturday
9-Apr-89,10,1989,Apr,Sunday
10-Apr-89,6,1989,Apr,Monday
11-Apr-89,3,1989,Apr,Tuesday
12-Apr-89,6,1989,Apr,Wednesday
